name,coordinates.x,coordinates.y,realHero,hasToothpick,car.name,mood,impactSpeed,minutesOfWaiting,weaponType
BulkUser_1501,1,-900.0,true,true,BulkCar_1,CALM,71.0,3.0,HAMMER
BulkUser_1502,2,-899.5,false,false,BulkCar_2,SADNESS,122.0,62.0,RIFLE
BulkUser_1503,3,-899.0,true,false,BulkCar_3,RAGE,72.0,3.0,MACHINE_GUN
BulkUser_1504,4,-898.5,false,true,BulkCar_4,CALM,124.0,64.0,BAT
BulkUser_1505,5,-898.0,true,false,BulkCar_5,SADNESS,73.0,3.0,HAMMER
BulkUser_1506,6,-897.5,false,false,BulkCar_6,RAGE,126.0,66.0,RIFLE
BulkUser_1507,7,-897.0,true,true,BulkCar_7,CALM,74.0,3.0,MACHINE_GUN
BulkUser_1508,8,-896.5,false,false,BulkCar_8,SADNESS,128.0,68.0,BAT
BulkUser_1509,9,-896.0,true,false,BulkCar_9,RAGE,75.0,3.0,HAMMER
BulkUser_1510,10,-895.5,false,true,BulkCar_10,CALM,130.0,70.0,RIFLE
BulkUser_1511,11,-895.0,true,false,BulkCar_11,SADNESS,76.0,3.0,MACHINE_GUN
BulkUser_1512,12,-894.5,false,false,BulkCar_12,RAGE,132.0,72.0,BAT
BulkUser_1513,13,-894.0,true,true,BulkCar_13,CALM,77.0,3.0,HAMMER
BulkUser_1514,14,-893.5,false,false,BulkCar_14,SADNESS,134.0,74.0,RIFLE
BulkUser_1515,15,-893.0,true,false,BulkCar_15,RAGE,78.0,3.0,MACHINE_GUN
BulkUser_1516,16,-892.5,false,true,BulkCar_16,CALM,136.0,76.0,BAT
BulkUser_1517,17,-892.0,true,false,BulkCar_17,SADNESS,79.0,3.0,HAMMER
BulkUser_1518,18,-891.5,false,false,BulkCar_18,RAGE,138.0,78.0,RIFLE
BulkUser_1519,19,-891.0,true,true,BulkCar_19,CALM,80.0,3.0,MACHINE_GUN
BulkUser_1520,20,-890.5,false,false,BulkCar_20,SADNESS,140.0,80.0,BAT
BulkUser_1521,21,-890.0,true,false,BulkCar_1,RAGE,81.0,3.0,HAMMER
BulkUser_1522,22,-889.5,false,true,BulkCar_2,CALM,142.0,82.0,RIFLE
BulkUser_1523,23,-889.0,true,false,BulkCar_3,SADNESS,82.0,3.0,MACHINE_GUN
BulkUser_1524,24,-888.5,false,false,BulkCar_4,RAGE,144.0,84.0,BAT
BulkUser_1525,25,-888.0,true,true,BulkCar_5,CALM,83.0,3.0,HAMMER
BulkUser_1526,26,-887.5,false,false,BulkCar_6,SADNESS,146.0,86.0,RIFLE
BulkUser_1527,27,-887.0,true,false,BulkCar_7,RAGE,84.0,3.0,MACHINE_GUN
BulkUser_1528,28,-886.5,false,true,BulkCar_8,CALM,148.0,88.0,BAT
BulkUser_1529,29,-886.0,true,false,BulkCar_9,SADNESS,85.0,3.0,HAMMER
BulkUser_1530,30,-885.5,false,false,BulkCar_10,RAGE,150.0,90.0,RIFLE
BulkUser_1531,31,-885.0,true,true,BulkCar_11,CALM,86.0,3.0,MACHINE_GUN
BulkUser_1532,32,-884.5,false,false,BulkCar_12,SADNESS,152.0,92.0,BAT
BulkUser_1533,33,-884.0,true,false,BulkCar_13,RAGE,87.0,3.0,HAMMER
BulkUser_1534,34,-883.5,false,true,BulkCar_14,CALM,154.0,94.0,RIFLE
BulkUser_1535,35,-883.0,true,false,BulkCar_15,SADNESS,88.0,3.0,MACHINE_GUN
BulkUser_1536,36,-882.5,false,false,BulkCar_16,RAGE,156.0,96.0,BAT
BulkUser_1537,37,-882.0,true,true,BulkCar_17,CALM,89.0,3.0,HAMMER
BulkUser_1538,38,-881.5,false,false,BulkCar_18,SADNESS,158.0,98.0,RIFLE
BulkUser_1539,39,-881.0,true,false,BulkCar_19,RAGE,90.0,3.0,MACHINE_GUN
BulkUser_1540,40,-880.5,false,true,BulkCar_20,CALM,160.0,100.0,BAT
BulkUser_1541,41,-880.0,true,false,BulkCar_1,SADNESS,91.0,3.0,HAMMER
BulkUser_1542,42,-879.5,false,false,BulkCar_2,RAGE,162.0,102.0,RIFLE
BulkUser_1543,43,-879.0,true,true,BulkCar_3,CALM,92.0,3.0,MACHINE_GUN
BulkUser_1544,44,-878.5,false,false,BulkCar_4,SADNESS,164.0,104.0,BAT
BulkUser_1545,45,-878.0,true,false,BulkCar_5,RAGE,93.0,3.0,HAMMER
BulkUser_1546,46,-877.5,false,true,BulkCar_6,CALM,166.0,106.0,RIFLE
BulkUser_1547,47,-877.0,true,false,BulkCar_7,SADNESS,94.0,3.0,MACHINE_GUN
BulkUser_1548,48,-876.5,false,false,BulkCar_8,RAGE,168.0,108.0,BAT
BulkUser_1549,49,-876.0,true,true,BulkCar_9,CALM,95.0,3.0,HAMMER
BulkUser_1550,50,-875.5,false,false,BulkCar_10,SADNESS,170.0,110.0,RIFLE
BulkUser_1551,51,-900.0,true,false,BulkCar_11,RAGE,96.0,3.0,MACHINE_GUN
BulkUser_1552,52,-899.5,false,true,BulkCar_12,CALM,172.0,112.0,BAT
BulkUser_1553,53,-899.0,true,false,BulkCar_13,SADNESS,97.0,3.0,HAMMER
BulkUser_1554,54,-898.5,false,false,BulkCar_14,RAGE,174.0,114.0,RIFLE
BulkUser_1555,55,-898.0,true,true,BulkCar_15,CALM,98.0,3.0,MACHINE_GUN
BulkUser_1556,56,-897.5,false,false,BulkCar_16,SADNESS,176.0,116.0,BAT
BulkUser_1557,57,-897.0,true,false,BulkCar_17,RAGE,99.0,3.0,HAMMER
BulkUser_1558,58,-896.5,false,true,BulkCar_18,CALM,178.0,118.0,RIFLE
BulkUser_1559,59,-896.0,true,false,BulkCar_19,SADNESS,100.0,3.0,MACHINE_GUN
BulkUser_1560,60,-895.5,false,false,BulkCar_20,RAGE,180.0,120.0,BAT
BulkUser_1561,61,-895.0,true,true,BulkCar_1,CALM,101.0,3.0,HAMMER
BulkUser_1562,62,-894.5,false,false,BulkCar_2,SADNESS,182.0,2.0,RIFLE
BulkUser_1563,63,-894.0,true,false,BulkCar_3,RAGE,102.0,3.0,MACHINE_GUN
BulkUser_1564,64,-893.5,false,true,BulkCar_4,CALM,184.0,4.0,BAT
BulkUser_1565,65,-893.0,true,false,BulkCar_5,SADNESS,103.0,3.0,HAMMER
BulkUser_1566,66,-892.5,false,false,BulkCar_6,RAGE,186.0,6.0,RIFLE
BulkUser_1567,67,-892.0,true,true,BulkCar_7,CALM,104.0,3.0,MACHINE_GUN
BulkUser_1568,68,-891.5,false,false,BulkCar_8,SADNESS,188.0,8.0,BAT
BulkUser_1569,69,-891.0,true,false,BulkCar_9,RAGE,105.0,3.0,HAMMER
BulkUser_1570,70,-890.5,false,true,BulkCar_10,CALM,190.0,10.0,RIFLE
BulkUser_1571,71,-890.0,true,false,BulkCar_11,SADNESS,106.0,3.0,MACHINE_GUN
BulkUser_1572,72,-889.5,false,false,BulkCar_12,RAGE,192.0,12.0,BAT
BulkUser_1573,73,-889.0,true,true,BulkCar_13,CALM,107.0,3.0,HAMMER
BulkUser_1574,74,-888.5,false,false,BulkCar_14,SADNESS,194.0,14.0,RIFLE
BulkUser_1575,75,-888.0,true,false,BulkCar_15,RAGE,108.0,3.0,MACHINE_GUN
BulkUser_1576,76,-887.5,false,true,BulkCar_16,CALM,196.0,16.0,BAT
BulkUser_1577,77,-887.0,true,false,BulkCar_17,SADNESS,109.0,3.0,HAMMER
BulkUser_1578,78,-886.5,false,false,BulkCar_18,RAGE,198.0,18.0,RIFLE
BulkUser_1579,79,-886.0,true,true,BulkCar_19,CALM,110.0,3.0,MACHINE_GUN
BulkUser_1580,80,-885.5,false,false,BulkCar_20,SADNESS,200.0,20.0,BAT
BulkUser_1581,81,-885.0,true,false,BulkCar_1,RAGE,111.0,3.0,HAMMER
BulkUser_1582,82,-884.5,false,true,BulkCar_2,CALM,202.0,22.0,RIFLE
BulkUser_1583,83,-884.0,true,false,BulkCar_3,SADNESS,112.0,3.0,MACHINE_GUN
BulkUser_1584,84,-883.5,false,false,BulkCar_4,RAGE,204.0,24.0,BAT
BulkUser_1585,85,-883.0,true,true,BulkCar_5,CALM,113.0,3.0,HAMMER
BulkUser_1586,86,-882.5,false,false,BulkCar_6,SADNESS,206.0,26.0,RIFLE
BulkUser_1587,87,-882.0,true,false,BulkCar_7,RAGE,114.0,3.0,MACHINE_GUN
BulkUser_1588,88,-881.5,false,true,BulkCar_8,CALM,208.0,28.0,BAT
BulkUser_1589,89,-881.0,true,false,BulkCar_9,SADNESS,115.0,3.0,HAMMER
BulkUser_1590,90,-880.5,false,false,BulkCar_10,RAGE,210.0,30.0,RIFLE
BulkUser_1591,91,-880.0,true,true,BulkCar_11,CALM,116.0,3.0,MACHINE_GUN
BulkUser_1592,92,-879.5,false,false,BulkCar_12,SADNESS,212.0,32.0,BAT
BulkUser_1593,93,-879.0,true,false,BulkCar_13,RAGE,117.0,3.0,HAMMER
BulkUser_1594,94,-878.5,false,true,BulkCar_14,CALM,214.0,34.0,RIFLE
BulkUser_1595,95,-878.0,true,false,BulkCar_15,SADNESS,118.0,3.0,MACHINE_GUN
BulkUser_1596,96,-877.5,false,false,BulkCar_16,RAGE,216.0,36.0,BAT
BulkUser_1597,97,-877.0,true,true,BulkCar_17,CALM,119.0,3.0,HAMMER
BulkUser_1598,98,-876.5,false,false,BulkCar_18,SADNESS,218.0,38.0,RIFLE
BulkUser_1599,99,-876.0,true,false,BulkCar_19,RAGE,120.0,3.0,MACHINE_GUN
BulkUser_1600,100,-875.5,false,true,BulkCar_20,CALM,220.0,40.0,BAT
BulkUser_1601,1,-900.0,true,false,BulkCar_1,SADNESS,121.0,3.0,HAMMER
BulkUser_1602,2,-899.5,false,false,BulkCar_2,RAGE,222.0,42.0,RIFLE
BulkUser_1603,3,-899.0,true,true,BulkCar_3,CALM,122.0,3.0,MACHINE_GUN
BulkUser_1604,4,-898.5,false,false,BulkCar_4,SADNESS,224.0,44.0,BAT
BulkUser_1605,5,-898.0,true,false,BulkCar_5,RAGE,123.0,3.0,HAMMER
BulkUser_1606,6,-897.5,false,true,BulkCar_6,CALM,226.0,46.0,RIFLE
BulkUser_1607,7,-897.0,true,false,BulkCar_7,SADNESS,124.0,3.0,MACHINE_GUN
BulkUser_1608,8,-896.5,false,false,BulkCar_8,RAGE,228.0,48.0,BAT
BulkUser_1609,9,-896.0,true,true,BulkCar_9,CALM,125.0,3.0,HAMMER
BulkUser_1610,10,-895.5,false,false,BulkCar_10,SADNESS,230.0,50.0,RIFLE
BulkUser_1611,11,-895.0,true,false,BulkCar_11,RAGE,126.0,3.0,MACHINE_GUN
BulkUser_1612,12,-894.5,false,true,BulkCar_12,CALM,232.0,52.0,BAT
BulkUser_1613,13,-894.0,true,false,BulkCar_13,SADNESS,127.0,3.0,HAMMER
BulkUser_1614,14,-893.5,false,false,BulkCar_14,RAGE,234.0,54.0,RIFLE
BulkUser_1615,15,-893.0,true,true,BulkCar_15,CALM,128.0,3.0,MACHINE_GUN
BulkUser_1616,16,-892.5,false,false,BulkCar_16,SADNESS,236.0,56.0,BAT
BulkUser_1617,17,-892.0,true,false,BulkCar_17,RAGE,129.0,3.0,HAMMER
BulkUser_1618,18,-891.5,false,true,BulkCar_18,CALM,238.0,58.0,RIFLE
BulkUser_1619,19,-891.0,true,false,BulkCar_19,SADNESS,130.0,3.0,MACHINE_GUN
BulkUser_1620,20,-890.5,false,false,BulkCar_20,RAGE,240.0,60.0,BAT
BulkUser_1621,21,-890.0,true,true,BulkCar_1,CALM,131.0,3.0,HAMMER
BulkUser_1622,22,-889.5,false,false,BulkCar_2,SADNESS,242.0,62.0,RIFLE
BulkUser_1623,23,-889.0,true,false,BulkCar_3,RAGE,132.0,3.0,MACHINE_GUN
BulkUser_1624,24,-888.5,false,true,BulkCar_4,CALM,244.0,64.0,BAT
BulkUser_1625,25,-888.0,true,false,BulkCar_5,SADNESS,133.0,3.0,HAMMER
BulkUser_1626,26,-887.5,false,false,BulkCar_6,RAGE,246.0,66.0,RIFLE
BulkUser_1627,27,-887.0,true,true,BulkCar_7,CALM,134.0,3.0,MACHINE_GUN
BulkUser_1628,28,-886.5,false,false,BulkCar_8,SADNESS,248.0,68.0,BAT
BulkUser_1629,29,-886.0,true,false,BulkCar_9,RAGE,135.0,3.0,HAMMER
