name,coordinates.x,coordinates.y,realHero,hasToothpick,car.name,mood,impactSpeed,minutesOfWaiting,weaponType
BulkUser_2001,1,-900.0,true,false,BulkCar_1,RAGE,321.0,3.0,HAMMER
BulkUser_2002,2,-899.5,false,true,BulkCar_2,CALM,277.0,82.0,RIFLE
BulkUser_2003,3,-899.0,true,false,BulkCar_3,SADNESS,322.0,3.0,MACHINE_GUN
BulkUser_2004,4,-898.5,false,false,BulkCar_4,RAGE,279.0,84.0,BAT
BulkUser_2005,5,-898.0,true,true,BulkCar_5,CALM,323.0,3.0,HAMMER
BulkUser_2006,6,-897.5,false,false,BulkCar_6,SADNESS,281.0,86.0,RIFLE
BulkUser_2007,7,-897.0,true,false,BulkCar_7,RAGE,324.0,3.0,MACHINE_GUN
BulkUser_2008,8,-896.5,false,true,BulkCar_8,CALM,283.0,88.0,BAT
BulkUser_2009,9,-896.0,true,false,BulkCar_9,SADNESS,325.0,3.0,HAMMER
BulkUser_2010,10,-895.5,false,false,BulkCar_10,RAGE,285.0,90.0,RIFLE
BulkUser_2011,11,-895.0,true,true,BulkCar_11,CALM,326.0,3.0,MACHINE_GUN
BulkUser_2012,12,-894.5,false,false,BulkCar_12,SADNESS,287.0,92.0,BAT
BulkUser_2013,13,-894.0,true,false,BulkCar_13,RAGE,327.0,3.0,HAMMER
BulkUser_2014,14,-893.5,false,true,BulkCar_14,CALM,289.0,94.0,RIFLE
BulkUser_2015,15,-893.0,true,false,BulkCar_15,SADNESS,328.0,3.0,MACHINE_GUN
BulkUser_2016,16,-892.5,false,false,BulkCar_16,RAGE,291.0,96.0,BAT
BulkUser_2017,17,-892.0,true,true,BulkCar_17,CALM,329.0,3.0,HAMMER
BulkUser_2018,18,-891.5,false,false,BulkCar_18,SADNESS,293.0,98.0,RIFLE
BulkUser_2019,19,-891.0,true,false,BulkCar_19,RAGE,330.0,3.0,MACHINE_GUN
BulkUser_2020,20,-890.5,false,true,BulkCar_20,CALM,295.0,100.0,BAT
BulkUser_2021,21,-890.0,true,false,BulkCar_1,SADNESS,331.0,3.0,HAMMER
BulkUser_2022,22,-889.5,false,false,BulkCar_2,RAGE,297.0,102.0,RIFLE
BulkUser_2023,23,-889.0,true,true,BulkCar_3,CALM,332.0,3.0,MACHINE_GUN
BulkUser_2024,24,-888.5,false,false,BulkCar_4,SADNESS,299.0,104.0,BAT
BulkUser_2025,25,-888.0,true,false,BulkCar_5,RAGE,333.0,3.0,HAMMER
BulkUser_2026,26,-887.5,false,true,BulkCar_6,CALM,301.0,106.0,RIFLE
BulkUser_2027,27,-887.0,true,false,BulkCar_7,SADNESS,334.0,3.0,MACHINE_GUN
BulkUser_2028,28,-886.5,false,false,BulkCar_8,RAGE,303.0,108.0,BAT
BulkUser_2029,29,-886.0,true,true,BulkCar_9,CALM,335.0,3.0,HAMMER
BulkUser_2030,30,-885.5,false,false,BulkCar_10,SADNESS,305.0,110.0,RIFLE
BulkUser_2031,31,-885.0,true,false,BulkCar_11,RAGE,336.0,3.0,MACHINE_GUN
BulkUser_2032,32,-884.5,false,true,BulkCar_12,CALM,307.0,112.0,BAT
BulkUser_2033,33,-884.0,true,false,BulkCar_13,SADNESS,337.0,3.0,HAMMER
BulkUser_2034,34,-883.5,false,false,BulkCar_14,RAGE,309.0,114.0,RIFLE
BulkUser_2035,35,-883.0,true,true,BulkCar_15,CALM,338.0,3.0,MACHINE_GUN
BulkUser_2036,36,-882.5,false,false,BulkCar_16,SADNESS,311.0,116.0,BAT
BulkUser_2037,37,-882.0,true,false,BulkCar_17,RAGE,339.0,3.0,HAMMER
BulkUser_2038,38,-881.5,false,true,BulkCar_18,CALM,313.0,118.0,RIFLE
BulkUser_2039,39,-881.0,true,false,BulkCar_19,SADNESS,340.0,3.0,MACHINE_GUN
BulkUser_2040,40,-880.5,false,false,BulkCar_20,RAGE,315.0,120.0,BAT
BulkUser_2041,41,-880.0,true,true,BulkCar_1,CALM,1.0,4.0,HAMMER
BulkUser_2042,42,-879.5,false,false,BulkCar_2,SADNESS,317.0,2.0,RIFLE
BulkUser_2043,43,-879.0,true,false,BulkCar_3,RAGE,2.0,4.0,MACHINE_GUN
BulkUser_2044,44,-878.5,false,true,BulkCar_4,CALM,319.0,4.0,BAT
BulkUser_2045,45,-878.0,true,false,BulkCar_5,SADNESS,3.0,4.0,HAMMER
BulkUser_2046,46,-877.5,false,false,BulkCar_6,RAGE,321.0,6.0,RIFLE
BulkUser_2047,47,-877.0,true,true,BulkCar_7,CALM,4.0,4.0,MACHINE_GUN
BulkUser_2048,48,-876.5,false,false,BulkCar_8,SADNESS,323.0,8.0,BAT
BulkUser_2049,49,-876.0,true,false,BulkCar_9,RAGE,5.0,4.0,HAMMER
BulkUser_2050,50,-875.5,false,true,BulkCar_10,CALM,325.0,10.0,RIFLE
BulkUser_2051,51,-900.0,true,false,BulkCar_11,SADNESS,6.0,4.0,MACHINE_GUN
BulkUser_2052,52,-899.5,false,false,BulkCar_12,RAGE,327.0,12.0,BAT
BulkUser_2053,53,-899.0,true,true,BulkCar_13,CALM,7.0,4.0,HAMMER
BulkUser_2054,54,-898.5,false,false,BulkCar_14,SADNESS,329.0,14.0,RIFLE
BulkUser_2055,55,-898.0,true,false,BulkCar_15,RAGE,8.0,4.0,MACHINE_GUN
BulkUser_2056,56,-897.5,false,true,BulkCar_16,CALM,331.0,16.0,BAT
BulkUser_2057,57,-897.0,true,false,BulkCar_17,SADNESS,9.0,4.0,HAMMER
BulkUser_2058,58,-896.5,false,false,BulkCar_18,RAGE,333.0,18.0,RIFLE
BulkUser_2059,59,-896.0,true,true,BulkCar_19,CALM,10.0,4.0,MACHINE_GUN
BulkUser_2060,60,-895.5,false,false,BulkCar_20,SADNESS,335.0,20.0,BAT
BulkUser_2061,61,-895.0,true,false,BulkCar_1,RAGE,11.0,4.0,HAMMER
BulkUser_2062,62,-894.5,false,true,BulkCar_2,CALM,337.0,22.0,RIFLE
BulkUser_2063,63,-894.0,true,false,BulkCar_3,SADNESS,12.0,4.0,MACHINE_GUN
BulkUser_2064,64,-893.5,false,false,BulkCar_4,RAGE,339.0,24.0,BAT
BulkUser_2065,65,-893.0,true,true,BulkCar_5,CALM,13.0,4.0,HAMMER
BulkUser_2066,66,-892.5,false,false,BulkCar_6,SADNESS,341.0,26.0,RIFLE
BulkUser_2067,67,-892.0,true,false,BulkCar_7,RAGE,14.0,4.0,MACHINE_GUN
BulkUser_2068,68,-891.5,false,true,BulkCar_8,CALM,343.0,28.0,BAT
BulkUser_2069,69,-891.0,true,false,BulkCar_9,SADNESS,15.0,4.0,HAMMER
BulkUser_2070,70,-890.5,false,false,BulkCar_10,RAGE,345.0,30.0,RIFLE
BulkUser_2071,71,-890.0,true,true,BulkCar_11,CALM,16.0,4.0,MACHINE_GUN
BulkUser_2072,72,-889.5,false,false,BulkCar_12,SADNESS,2.0,32.0,BAT
BulkUser_2073,73,-889.0,true,false,BulkCar_13,RAGE,17.0,4.0,HAMMER
BulkUser_2074,74,-888.5,false,true,BulkCar_14,CALM,4.0,34.0,RIFLE
BulkUser_2075,75,-888.0,true,false,BulkCar_15,SADNESS,18.0,4.0,MACHINE_GUN
BulkUser_2076,76,-887.5,false,false,BulkCar_16,RAGE,6.0,36.0,BAT
BulkUser_2077,77,-887.0,true,true,BulkCar_17,CALM,19.0,4.0,HAMMER
BulkUser_2078,78,-886.5,false,false,BulkCar_18,SADNESS,8.0,38.0,RIFLE
BulkUser_2079,79,-886.0,true,false,BulkCar_19,RAGE,20.0,4.0,MACHINE_GUN
BulkUser_2080,80,-885.5,false,true,BulkCar_20,CALM,10.0,40.0,BAT
BulkUser_2081,81,-885.0,true,false,BulkCar_1,SADNESS,21.0,4.0,HAMMER
BulkUser_2082,82,-884.5,false,false,BulkCar_2,RAGE,12.0,42.0,RIFLE
BulkUser_2083,83,-884.0,true,true,BulkCar_3,CALM,22.0,4.0,MACHINE_GUN
BulkUser_2084,84,-883.5,false,false,BulkCar_4,SADNESS,14.0,44.0,BAT
BulkUser_2085,85,-883.0,true,false,BulkCar_5,RAGE,23.0,4.0,HAMMER
BulkUser_2086,86,-882.5,false,true,BulkCar_6,CALM,16.0,46.0,RIFLE
BulkUser_2087,87,-882.0,true,false,BulkCar_7,SADNESS,24.0,4.0,MACHINE_GUN
BulkUser_2088,88,-881.5,false,false,BulkCar_8,RAGE,18.0,48.0,BAT
BulkUser_2089,89,-881.0,true,true,BulkCar_9,CALM,25.0,4.0,HAMMER
BulkUser_2090,90,-880.5,false,false,BulkCar_10,SADNESS,20.0,50.0,RIFLE
BulkUser_2091,91,-880.0,true,false,BulkCar_11,RAGE,26.0,4.0,MACHINE_GUN
BulkUser_2092,92,-879.5,false,true,BulkCar_12,CALM,22.0,52.0,BAT
BulkUser_2093,93,-879.0,true,false,BulkCar_13,SADNESS,27.0,4.0,HAMMER
BulkUser_2094,94,-878.5,false,false,BulkCar_14,RAGE,24.0,54.0,RIFLE
BulkUser_2095,95,-878.0,true,true,BulkCar_15,CALM,28.0,4.0,MACHINE_GUN
BulkUser_2096,96,-877.5,false,false,BulkCar_16,SADNESS,26.0,56.0,BAT
BulkUser_2097,97,-877.0,true,false,BulkCar_17,RAGE,29.0,4.0,HAMMER
